organisation,sector,page_title,base_url,url,viewport_size,audit_id,page_id,audit_type,issue_id,description,target,num_issues,help,helpUrl,id,impact,html,tags,best-practice
MSD,Government,MSD - Ministry of Social Development,https://msd.govt.nz,https://msd.govt.nz/,"{'width': 320, 'height': 450}",1_small,1,AxeCoreAudit,,No issues found,,0,,,,,,,No
MSD,Government,MSD - Ministry of Social Development,https://msd.govt.nz,https://msd.govt.nz/,"{'width': 1280, 'height': 800}",1_medium,1,AxeCoreAudit,,No issues found,,0,,,,,,,No
MSD,Government,What we do - Ministry of Social Development,https://msd.govt.nz,https://msd.govt.nz/what-we-can-do/index.html,"{'width': 320, 'height': 450}",2_small,2,AxeCoreAudit,,No issues found,,0,,,,,,,No
MSD,Government,What we do - Ministry of Social Development,https://msd.govt.nz,https://msd.govt.nz/what-we-can-do/index.html,"{'width': 1280, 'height': 800}",2_medium,2,AxeCoreAudit,,No issues found,,0,,,,,,,No
MSD,Government,Young Adults / ngā Rangatahi - Ministry of Social Development,https://msd.govt.nz,https://msd.govt.nz/what-we-can-do/young-adults/index.html,"{'width': 320, 'height': 450}",3_small,3,AxeCoreAudit,,No issues found,,0,,,,,,,No
MSD,Government,Young Adults / ngā Rangatahi - Ministry of Social Development,https://msd.govt.nz,https://msd.govt.nz/what-we-can-do/young-adults/index.html,"{'width': 1280, 'height': 800}",3_medium,3,AxeCoreAudit,,No issues found,,0,,,,,,,No
MSD,Government,News and Media - Ministry of Social Development,https://msd.govt.nz,https://msd.govt.nz/about-msd-and-our-work/newsroom/index.html,"{'width': 320, 'height': 450}",4_small,4,AxeCoreAudit,,No issues found,,0,,,,,,,No
MSD,Government,News and Media - Ministry of Social Development,https://msd.govt.nz,https://msd.govt.nz/about-msd-and-our-work/newsroom/index.html,"{'width': 1280, 'height': 800}",4_medium,4,AxeCoreAudit,,No issues found,,0,,,,,,,No
MSD,Government,COVID-19 and MSD - Ministry of Social Development,https://msd.govt.nz,https://msd.govt.nz/about-msd-and-our-work/covid-19/index.html,"{'width': 320, 'height': 450}",5_small,5,AxeCoreAudit,,No issues found,,0,,,,,,,No
MSD,Government,COVID-19 and MSD - Ministry of Social Development,https://msd.govt.nz,https://msd.govt.nz/about-msd-and-our-work/covid-19/index.html,"{'width': 1280, 'height': 800}",5_medium,5,AxeCoreAudit,,No issues found,,0,,,,,,,No
MSD,Government,Community detention for 16 attempts at COVID19 Wage Subsidy fraud - Ministry of Social Development,https://msd.govt.nz,https://msd.govt.nz/about-msd-and-our-work/work-programmes/wage-subsidy-integrity/2025/community-detention-for-16-attempts-at-covid19-wage-subsidy-fraud.html,"{'width': 320, 'height': 450}",6_small,6,AxeCoreAudit,ac71c55a55,Ensure that lists are structured correctly,//div[@id='breadcrumbs']/nav/ol,1,"<ul> and <ol> must only directly contain <li>, <script> or <template> elements",https://dequeuniversity.com/rules/axe/4.11/list?application=axeAPI,list,serious,<ol>,"['cat.structure', 'wcag2a', 'wcag131', 'EN-301-549', 'EN-9.1.3.1', 'RGAAv4', 'RGAA-9.3.1']",No
MSD,Government,Community detention for 16 attempts at COVID19 Wage Subsidy fraud - Ministry of Social Development,https://msd.govt.nz,https://msd.govt.nz/about-msd-and-our-work/work-programmes/wage-subsidy-integrity/2025/community-detention-for-16-attempts-at-covid19-wage-subsidy-fraud.html,"{'width': 1280, 'height': 800}",6_medium,6,AxeCoreAudit,e62c191b0c,Ensure <img> elements have alternative text or a role of none or presentation,//div[@id='feature-col']/div/img,1,Images must have alternative text,https://dequeuniversity.com/rules/axe/4.11/image-alt?application=axeAPI,image-alt,critical,"<img src="""">","['cat.text-alternatives', 'wcag2a', 'wcag111', 'section508', 'section508.22.a', 'TTv5', 'TT7.a', 'TT7.b', 'EN-301-549', 'EN-9.1.1.1', 'ACT', 'RGAAv4', 'RGAA-1.1.1']",No
MSD,Government,Community detention for 16 attempts at COVID19 Wage Subsidy fraud - Ministry of Social Development,https://msd.govt.nz,https://msd.govt.nz/about-msd-and-our-work/work-programmes/wage-subsidy-integrity/2025/community-detention-for-16-attempts-at-covid19-wage-subsidy-fraud.html,"{'width': 1280, 'height': 800}",6_medium,6,AxeCoreAudit,828f1204b8,Ensure that lists are structured correctly,//div[@id='breadcrumbs']/nav/ol,1,"<ul> and <ol> must only directly contain <li>, <script> or <template> elements",https://dequeuniversity.com/rules/axe/4.11/list?application=axeAPI,list,serious,<ol>,"['cat.structure', 'wcag2a', 'wcag131', 'EN-301-549', 'EN-9.1.3.1', 'RGAAv4', 'RGAA-9.3.1']",No
