organisation,sector,page_title,base_url,url,viewport_size,audit_id,page_id,flesch_kincaid_gl,num_sentences,words_per_sentence,syllables_per_word,smog_gl,helpUrl
MSD,Government,MSD - Ministry of Social Development,https://msd.govt.nz,https://msd.govt.nz/,"{'width': 320, 'height': 450}",1_small,1,8.085,18,14.000,1.544,10.626,https://www.digital.govt.nz/standards-and-guidance/design-and-ux/content-design-guidance/writing-style/plain-language/
MSD,Government,MSD - Ministry of Social Development,https://msd.govt.nz,https://msd.govt.nz/,"{'width': 1280, 'height': 800}",1_medium,1,8.085,18,14.000,1.544,10.626,https://www.digital.govt.nz/standards-and-guidance/design-and-ux/content-design-guidance/writing-style/plain-language/
MSD,Government,Young Adults / ngā Rangatahi - Ministry of Social Development,https://msd.govt.nz,https://msd.govt.nz/what-we-can-do/young-adults/index.html,"{'width': 320, 'height': 450}",3_small,3,8.764,26,14.731,1.577,11.879,https://www.digital.govt.nz/standards-and-guidance/design-and-ux/content-design-guidance/writing-style/plain-language/
MSD,Government,Young Adults / ngā Rangatahi - Ministry of Social Development,https://msd.govt.nz,https://msd.govt.nz/what-we-can-do/young-adults/index.html,"{'width': 1280, 'height': 800}",3_medium,3,8.764,26,14.731,1.577,11.879,https://www.digital.govt.nz/standards-and-guidance/design-and-ux/content-design-guidance/writing-style/plain-language/
MSD,Government,News and Media - Ministry of Social Development,https://msd.govt.nz,https://msd.govt.nz/about-msd-and-our-work/newsroom/index.html,"{'width': 320, 'height': 450}",4_small,4,7.253,21,14.571,1.454,11.398,https://www.digital.govt.nz/standards-and-guidance/design-and-ux/content-design-guidance/writing-style/plain-language/
MSD,Government,News and Media - Ministry of Social Development,https://msd.govt.nz,https://msd.govt.nz/about-msd-and-our-work/newsroom/index.html,"{'width': 1280, 'height': 800}",4_medium,4,7.253,21,14.571,1.454,11.398,https://www.digital.govt.nz/standards-and-guidance/design-and-ux/content-design-guidance/writing-style/plain-language/
MSD,Government,COVID-19 and MSD - Ministry of Social Development,https://msd.govt.nz,https://msd.govt.nz/about-msd-and-our-work/covid-19/index.html,"{'width': 320, 'height': 450}",5_small,5,9.720,41,15.122,1.645,12.862,https://www.digital.govt.nz/standards-and-guidance/design-and-ux/content-design-guidance/writing-style/plain-language/
MSD,Government,COVID-19 and MSD - Ministry of Social Development,https://msd.govt.nz,https://msd.govt.nz/about-msd-and-our-work/covid-19/index.html,"{'width': 1280, 'height': 800}",5_medium,5,9.720,41,15.122,1.645,12.862,https://www.digital.govt.nz/standards-and-guidance/design-and-ux/content-design-guidance/writing-style/plain-language/
MSD,Government,Community detention for 16 attempts at COVID19 Wage Subsidy fraud - Ministry of Social Development,https://msd.govt.nz,https://msd.govt.nz/about-msd-and-our-work/work-programmes/wage-subsidy-integrity/2025/community-detention-for-16-attempts-at-covid19-wage-subsidy-fraud.html,"{'width': 320, 'height': 450}",6_small,6,9.148,16,15.625,1.580,12.162,https://www.digital.govt.nz/standards-and-guidance/design-and-ux/content-design-guidance/writing-style/plain-language/
MSD,Government,Community detention for 16 attempts at COVID19 Wage Subsidy fraud - Ministry of Social Development,https://msd.govt.nz,https://msd.govt.nz/about-msd-and-our-work/work-programmes/wage-subsidy-integrity/2025/community-detention-for-16-attempts-at-covid19-wage-subsidy-fraud.html,"{'width': 1280, 'height': 800}",6_medium,6,9.148,16,15.625,1.580,12.162,https://www.digital.govt.nz/standards-and-guidance/design-and-ux/content-design-guidance/writing-style/plain-language/
