organisation,sector,page_title,base_url,url,viewport_size,audit_id,page_id,audit_type,overflows,num_issues,overflow_amount_px
MSD,Government,MSD - Ministry of Social Development,https://msd.govt.nz,https://msd.govt.nz/,"{'width': 320, 'height': 450}",1_small,1,ReflowAudit,False,0,0
MSD,Government,What we do - Ministry of Social Development,https://msd.govt.nz,https://msd.govt.nz/what-we-can-do/index.html,"{'width': 320, 'height': 450}",2_small,2,ReflowAudit,False,0,0
MSD,Government,Young Adults / ngā Rangatahi - Ministry of Social Development,https://msd.govt.nz,https://msd.govt.nz/what-we-can-do/young-adults/index.html,"{'width': 320, 'height': 450}",3_small,3,ReflowAudit,False,0,0
MSD,Government,News and Media - Ministry of Social Development,https://msd.govt.nz,https://msd.govt.nz/about-msd-and-our-work/newsroom/index.html,"{'width': 320, 'height': 450}",4_small,4,ReflowAudit,False,0,0
MSD,Government,COVID-19 and MSD - Ministry of Social Development,https://msd.govt.nz,https://msd.govt.nz/about-msd-and-our-work/covid-19/index.html,"{'width': 320, 'height': 450}",5_small,5,ReflowAudit,False,0,0
MSD,Government,Community detention for 16 attempts at COVID19 Wage Subsidy fraud - Ministry of Social Development,https://msd.govt.nz,https://msd.govt.nz/about-msd-and-our-work/work-programmes/wage-subsidy-integrity/2025/community-detention-for-16-attempts-at-covid19-wage-subsidy-fraud.html,"{'width': 320, 'height': 450}",6_small,6,ReflowAudit,False,0,0
MSD,Government,Families / Ko ngā Whānau - Ministry of Social Development,https://msd.govt.nz,https://msd.govt.nz/what-we-can-do/families/index.html,"{'width': 320, 'height': 450}",7_small,7,ReflowAudit,False,0,0
MSD,Government,"Copyright, disclaimer and privacy statements - Ministry of Social Development",https://msd.govt.nz,https://msd.govt.nz/about-msd-and-our-work/tools/copyright-statement.html,"{'width': 320, 'height': 450}",8_small,8,ReflowAudit,False,0,0
MSD,Government,Publications and resources - Ministry of Social Development,https://msd.govt.nz,https://msd.govt.nz/about-msd-and-our-work/publications-resources/index.html,"{'width': 320, 'height': 450}",9_small,9,ReflowAudit,False,0,0
MSD,Government,Ministry of Social Development fact sheets - Ministry of Social Development,https://msd.govt.nz,https://msd.govt.nz/about-msd-and-our-work/newsroom/factsheets/index.html,"{'width': 320, 'height': 450}",10_small,10,ReflowAudit,False,0,0
MSD,Government,Child Wellbeing and Poverty Reduction - Ministry of Social Development,https://msd.govt.nz,https://msd.govt.nz/about-msd-and-our-work/child-wellbeing-and-poverty-reduction/index.html,"{'width': 320, 'height': 450}",11_small,11,ReflowAudit,False,0,0
